feature,class_CNV_HIGH,class_CNV_LOW,class_MSI,class_POLE,mean_importance
C22orf28 (D),0.19604097251422295,0.07052789626233563,0.11458196614850216,0.26234955536496446,0.1608750975725063
AC007537.1 (R),0.27053326631888,0.04531596721589901,0.2922295975978088,0.033452087258077655,0.16038272959766636
hsa-mir-5696 (M),0.19555617517631405,0.12813888064618387,0.21450837742888262,0.09460102948121461,0.1582011156831488
hsa-mir-4781 (M),0.14732810144861402,0.1391806468498032,0.05052310862510589,0.29312614930297565,0.1575395015566247
ELF5 (D),0.15390282876099268,0.27588681869575005,0.05816581282820833,0.1393943348382343,0.15683744878079633
C3orf63 (D),0.12533863897159248,0.14967662384054958,0.2946933855398806,0.05606771052075582,0.15644408971819462
RPL22P13 (R),0.11982763450253456,0.04613661520811379,0.2765884635377507,0.17550869969562183,0.15451535323600524
HOXA7 (D),0.04254373081592399,0.202896983206656,0.060759589058211286,0.3090912140508524,0.1538228792829109
PCDHB11 (D),0.0397248010399948,0.11419306047823527,0.2598175406210528,0.19911261304094452,0.15321200379505684
RIOX1 (R),0.18874627772398092,0.05634289267103204,0.20235480034726214,0.16405072735566364,0.1528736745244847
HIST1H2AB (D),0.06736046586789408,0.2427971000867268,0.25348884437071745,0.04702013410786962,0.152666636108302
SLC22A16 (D),0.17466115039150837,0.11994048859878442,0.06735129258410547,0.24837899944267644,0.15258298275426868
ZNF204P (D),0.2053958274945195,0.08679309415496449,0.0442467046037419,0.2713077484446122,0.15193584367445953
SLFN13 (R),0.1449149411400059,0.07343352476275301,0.11648074147558242,0.2527063220456693,0.14688388235600264
hsa-mir-217 (M),0.2066948266196574,0.13683215779710986,0.08942550682516572,0.1505774859443363,0.1458824942965673
TNPO2 (D),0.11171916170093704,0.18275198468630774,0.2451260308002887,0.043395219503213955,0.14574809917268688
hsa-mir-514a (M),0.08209265067497142,0.19047431980728882,0.05189687849195604,0.2510738872560257,0.14388443405756052
hsa-mir-153 (M),0.2041095908915966,0.053881655446167125,0.11614748860955065,0.19944853976743296,0.14339681867868684
hsa-mir-3065 (M),0.1386330198261643,0.14987137979284945,0.08827332655988147,0.1905696728053836,0.1418368497460697
NRTN (D),0.1661939346688641,0.0381505679201695,0.06745788524713574,0.2919794412997163,0.1409454572839714
hsa-mir-34a (M),0.1594593204956983,0.0839314346603614,0.04098806590841026,0.27934486135578335,0.14093092060506335
AC087343.1 (R),0.22849569607826758,0.045787997979450844,0.23678025836473682,0.04975244785322053,0.14020410006891892
KCNJ2-AS1 (R),0.05299426925301916,0.21594802979062824,0.07609855585375884,0.21152012330236555,0.13914024454994295
C2orf78 (D),0.04575564274925916,0.32480921251998857,0.08689800592993466,0.09542416672217638,0.13822175698033967
H2AFJ (R),0.2088979817789058,0.07077437673900136,0.2179976604406221,0.054404467071626536,0.13801862150753894
hsa-mir-95 (M),0.056061037719909564,0.18933271185925526,0.08948512922583998,0.2166857433801134,0.13789115554627954
HIST1H3J (D),0.2718094602353453,0.043214808725599824,0.04889593732622846,0.1834075843011634,0.13683194764708426
RNLS (R),0.2191064089141908,0.04848737010645711,0.1903655290462769,0.08067789761840959,0.1346593014213336
hsa-mir-499a (M),0.04768908500859758,0.2601994400999472,0.16587152793909896,0.057759038542944896,0.13287977289764719
AC239803.4 (R),0.04954435758159293,0.17183235945223352,0.26300843894666515,0.04300160285955924,0.1318466897100127
hsa-mir-4521 (M),0.1515780516596506,0.10375238343991391,0.12095148845631908,0.14441771189991068,0.13017490886394859
HOXA4 (D),0.22156975490360484,0.05269904353954225,0.06742686586749357,0.17326557062697323,0.12874030873440348
C2orf74 (D),0.09949599162587688,0.13754166454772923,0.17017263173121006,0.10715823612246085,0.12859213100681927
